snippet,snippet_baku,tokens,stemmed_tokens,sentiment_label
yyps thats right klo mau pilih ayam goreng tepung renyah disinilah tempatnya brand ayam goreng sudah sejak lama berada indonesia menjadi sangat popular dikalangan anak kecil hingga orang tua bahkan kakek nenek,yyps thats right kalau mau pilih ayam goreng tepung renyah disinilah tempatnya brand ayam goreng sudah sejak lama berada indonesia menjadi sangat popular dikalangan anak kecil hingga orang tua bahkan kakek nenek,"['yyps', 'thats', 'right', 'kalau', 'mau', 'pilih', 'ayam', 'goreng', 'tepung', 'renyah', 'disinilah', 'tempatnya', 'brand', 'ayam', 'goreng', 'sudah', 'sejak', 'lama', 'berada', 'indonesia', 'menjadi', 'sangat', 'popular', 'dikalangan', 'anak', 'kecil', 'hingga', 'orang', 'tua', 'bahkan', 'kakek', 'nenek']","['yyps', 'thats', 'right', 'kalau', 'mau', 'pilih', 'ayam', 'goreng', 'tepung', 'renyah', 'sin', 'tempat', 'brand', 'ayam', 'goreng', 'sudah', 'sejak', 'lama', 'ada', 'indonesia', 'jadi', 'sangat', 'popular', 'kalang', 'anak', 'kecil', 'hingga', 'orang', 'tua', 'bahkan', 'kakek', 'nenek']",negatif
luas bersih menjadi keunggulan tersendiri ketika menikmati ayam goreng,luas bersih menjadi keunggulan tersendiri ketika menikmati ayam goreng,"['luas', 'bersih', 'menjadi', 'keunggulan', 'tersendiri', 'ketika', 'menikmati', 'ayam', 'goreng']","['luas', 'bersih', 'jadi', 'unggul', 'sendiri', 'ketika', 'nikmat', 'ayam', 'goreng']",positif
tips jika suka pedas pilihlah pedas akan lebih terasa apabila suka oedas pilihlah original,tips jika suka pedas pilihlah pedas akan lebih terasa apabila suka oedas pilihlah original,"['tips', 'jika', 'suka', 'pedas', 'pilihlah', 'pedas', 'akan', 'lebih', 'terasa', 'apabila', 'suka', 'oedas', 'pilihlah', 'original']","['tips', 'jika', 'suka', 'pedas', 'pilih', 'pedas', 'akan', 'lebih', 'asa', 'apabila', 'suka', 'oedas', 'pilih', 'original']",positif
pembayaran cash cc debit qr,pembayaran cash cc debit qr,"['pembayaran', 'cash', 'cc', 'debit', 'qr']","['bayar', 'cash', 'cc', 'debit', 'qr']",netral
parkirnya lumayan cukup banyak meja pinggir jalan banget deket dbl harga rasa standarbya kfc cuma indoor ac ngga terlalu dingin,parkirnya lumayan cukup banyak meja pinggir jalan sekali deket dbl harga rasa standarbya kfc cuma di dalam ac tidak terlalu dingin,"['parkirnya', 'lumayan', 'cukup', 'banyak', 'meja', 'pinggir', 'jalan', 'sekali', 'deket', 'dbl', 'harga', 'rasa', 'standarbya', 'kfc', 'cuma', 'di', 'dalam', 'ac', 'tidak', 'terlalu', 'dingin']","['parkir', 'lumayan', 'cukup', 'banyak', 'meja', 'pinggir', 'jalan', 'sekali', 'deket', 'dbl', 'harga', 'rasa', 'standarbya', 'kfc', 'cuma', 'di', 'dalam', 'ac', 'tidak', 'terlalu', 'dingin']",netral
memilih makan kfc males random nyobain makan takut zonk harusnya kan kfc rasanya sama dimana2 tp sini minumannya airnya agak aneh sedikit berbau cream soupnya hambar sedikit aneh rasanya indoornya pun sedikit panas padahal ber ac toilet wastafel lantainya kotor sekali,memilih makan kfc males random nyobain makan takut zonk harusnya kan kfc rasanya sama dimana2 tapi sini minumannya airnya agak aneh sedikit berbau cream soupnya hambar sedikit aneh rasanya indoornya pun sedikit panas padahal ber ac toilet wastafel lantainya kotor sekali,"['memilih', 'makan', 'kfc', 'males', 'random', 'nyobain', 'makan', 'takut', 'zonk', 'harusnya', 'kan', 'kfc', 'rasanya', 'sama', 'dimana2', 'tapi', 'sini', 'minumannya', 'airnya', 'agak', 'aneh', 'sedikit', 'berbau', 'cream', 'soupnya', 'hambar', 'sedikit', 'aneh', 'rasanya', 'indoornya', 'pun', 'sedikit', 'panas', 'padahal', 'ber', 'ac', 'toilet', 'wastafel', 'lantainya', 'kotor', 'sekali']","['pilih', 'makan', 'kfc', 'males', 'random', 'nyobain', 'makan', 'takut', 'zonk', 'harus', 'kan', 'kfc', 'rasa', 'sama', 'dimana2', 'tapi', 'sini', 'minum', 'air', 'agak', 'aneh', 'sedikit', 'bau', 'cream', 'soupnya', 'hambar', 'sedikit', 'aneh', 'rasa', 'indoornya', 'pun', 'sedikit', 'panas', 'padahal', 'ber', 'ac', 'toilet', 'wastafel', 'lantai', 'kotor', 'sekali']",negatif
kemarin tgl 29 malam kami datang 1 grup 11 orang semuanya malam hari diare muntah2sakit sampai 2 hari bagaimana bisa resto seperti kfc memperhatikan food safetynya mohon diperhatikan lagi,kemarin tgl 29 malam kami datang 1 grup 11 orang semuanya malam hari diare muntah2sakit sampai 2 hari bagaimana bisa resto seperti kfc memperhatikan food safetynya mohon diperhatikan lagi,"['kemarin', 'tgl', '29', 'malam', 'kami', 'datang', '1', 'grup', '11', 'orang', 'semuanya', 'malam', 'hari', 'diare', 'muntah2sakit', 'sampai', '2', 'hari', 'bagaimana', 'bisa', 'resto', 'seperti', 'kfc', 'memperhatikan', 'food', 'safetynya', 'mohon', 'diperhatikan', 'lagi']","['kemarin', 'tgl', '29', 'malam', 'kami', 'datang', '1', 'grup', '11', 'orang', 'semua', 'malam', 'hari', 'diare', 'muntah2sakit', 'sampai', '2', 'hari', 'bagaimana', 'bisa', 'resto', 'seperti', 'kfc', 'perhati', 'food', 'safetynya', 'mohon', 'perhati', 'lagi']",negatif
makanan junk food kesukaan paling sering dikunjungi suka bgt sama ayam goreng crispynya kaya pedas pedas sedikit biasa suka pesan super besar 1 atau gak paket winger hahahaj,makanan junk food kesukaan paling sering dikunjungi suka sekali sama ayam goreng crispynya kaya pedas pedas sedikit biasa suka pesan super besar 1 atau tidak paket winger hahahaj,"['makanan', 'junk', 'food', 'kesukaan', 'paling', 'sering', 'dikunjungi', 'suka', 'sekali', 'sama', 'ayam', 'goreng', 'crispynya', 'kaya', 'pedas', 'pedas', 'sedikit', 'biasa', 'suka', 'pesan', 'super', 'besar', '1', 'atau', 'tidak', 'paket', 'winger', 'hahahaj']","['makan', 'junk', 'food', 'suka', 'paling', 'sering', 'kunjung', 'suka', 'sekali', 'sama', 'ayam', 'goreng', 'crispynya', 'kaya', 'pedas', 'pedas', 'sedikit', 'biasa', 'suka', 'pesan', 'super', 'besar', '1', 'atau', 'tidak', 'paket', 'winger', 'hahahaj']",positif
kalo minumnya paking suka moccha float bikin gak ngantuk lagi kalo menu aneh anehnya lumayan hot spicy tp waktu itu minta pisah bumbunya supaya kulitnya ayamnya tetap crispy,kalo minumnya paking suka moccha float bikin tidak ngantuk lagi kalo menu aneh anehnya lumayan hot spicy tapi waktu itu minta pisah bumbunya supaya kulitnya ayamnya tetap crispy,"['kalo', 'minumnya', 'paking', 'suka', 'moccha', 'float', 'bikin', 'tidak', 'ngantuk', 'lagi', 'kalo', 'menu', 'aneh', 'anehnya', 'lumayan', 'hot', 'spicy', 'tapi', 'waktu', 'itu', 'minta', 'pisah', 'bumbunya', 'supaya', 'kulitnya', 'ayamnya', 'tetap', 'crispy']","['kalo', 'minum', 'paking', 'suka', 'moccha', 'float', 'bikin', 'tidak', 'ngantuk', 'lagi', 'kalo', 'menu', 'aneh', 'aneh', 'lumayan', 'hot', 'spicy', 'tapi', 'waktu', 'itu', 'minta', 'pisah', 'bumbu', 'supaya', 'kulit', 'ayam', 'tetap', 'crispy']",netral
dulunya suka paket bento gak terlalu kenyang cuma lumayan enak,dulunya suka paket bento tidak terlalu kenyang cuma lumayan enak,"['dulunya', 'suka', 'paket', 'bento', 'tidak', 'terlalu', 'kenyang', 'cuma', 'lumayan', 'enak']","['dulunya', 'suka', 'paket', 'bento', 'tidak', 'terlalu', 'kenyang', 'cuma', 'lumayan', 'enak']",positif
kfc ahmad yani surabaya bagian indoor outdoor barangkali suka nongkrong makan sambil ngerokok no problem,kfc ahmad yani surabaya bagian di dalam di luar barangkali suka nongkrong makan sambil ngerokok no problem,"['kfc', 'ahmad', 'yani', 'surabaya', 'bagian', 'di', 'dalam', 'di', 'luar', 'barangkali', 'suka', 'nongkrong', 'makan', 'sambil', 'ngerokok', 'no', 'problem']","['kfc', 'ahmad', 'yani', 'surabaya', 'bagi', 'di', 'dalam', 'di', 'luar', 'barangkali', 'suka', 'nongkrong', 'makan', 'sambil', 'ngerokok', 'no', 'problem']",positif
dateng ke sini hampir tengah malam baru pulang kerja jam 2300 tapi belum makan akhirnya mampir sini makan malam lumayan rame kalo malam banyak komunitas menghabiskan malam sini tersedia play ground anak2 banyak kursi outdoor pelayanan lumayan kok sudah less sedotan minuman petugas parkir tiba2 muncul saat keluar area parkir,dateng ke sini hampir tengah malam baru pulang kerja jam 2300 tapi belum makan akhirnya mampir sini makan malam lumayan rame kalo malam banyak komunitas menghabiskan malam sini tersedia play ground anak2 banyak kursi di luar pelayanan lumayan kok sudah less sedotan minuman petugas parkir tiba2 muncul saat keluar area parkir,"['dateng', 'ke', 'sini', 'hampir', 'tengah', 'malam', 'baru', 'pulang', 'kerja', 'jam', '2300', 'tapi', 'belum', 'makan', 'akhirnya', 'mampir', 'sini', 'makan', 'malam', 'lumayan', 'rame', 'kalo', 'malam', 'banyak', 'komunitas', 'menghabiskan', 'malam', 'sini', 'tersedia', 'play', 'ground', 'anak2', 'banyak', 'kursi', 'di', 'luar', 'pelayanan', 'lumayan', 'kok', 'sudah', 'less', 'sedotan', 'minuman', 'petugas', 'parkir', 'tiba2', 'muncul', 'saat', 'keluar', 'area', 'parkir']","['dateng', 'ke', 'sini', 'hampir', 'tengah', 'malam', 'baru', 'pulang', 'kerja', 'jam', '2300', 'tapi', 'belum', 'makan', 'akhir', 'mampir', 'sini', 'makan', 'malam', 'lumayan', 'rame', 'kalo', 'malam', 'banyak', 'komunitas', 'habis', 'malam', 'sini', 'sedia', 'play', 'ground', 'anak2', 'banyak', 'kursi', 'di', 'luar', 'layan', 'lumayan', 'kok', 'sudah', 'less', 'sedot', 'minum', 'tugas', 'parkir', 'tiba2', 'muncul', 'saat', 'keluar', 'area', 'parkir']",positif
diragukan lagi soal rasa nilai plusnya adalah area luas bahkan parkir luas drive thru strategis,diragukan lagi soal rasa nilai plusnya adalah area luas bahkan parkir luas drive thru strategis,"['diragukan', 'lagi', 'soal', 'rasa', 'nilai', 'plusnya', 'adalah', 'area', 'luas', 'bahkan', 'parkir', 'luas', 'drive', 'thru', 'strategis']","['ragu', 'lagi', 'soal', 'rasa', 'nilai', 'plus', 'adalah', 'area', 'luas', 'bahkan', 'parkir', 'luas', 'drive', 'thru', 'strategis']",positif
parkir luas makan luas menu variatif pelayan memuaskan cuma antrinya agak lama ngelap meja makan kurang bersih,parkir luas makan luas menu variatif pelayan memuaskan cuma antrinya agak lama ngelap meja makan kurang bersih,"['parkir', 'luas', 'makan', 'luas', 'menu', 'variatif', 'pelayan', 'memuaskan', 'cuma', 'antrinya', 'agak', 'lama', 'ngelap', 'meja', 'makan', 'kurang', 'bersih']","['parkir', 'luas', 'makan', 'luas', 'menu', 'variatif', 'layan', 'muas', 'cuma', 'antri', 'agak', 'lama', 'ngelap', 'meja', 'makan', 'kurang', 'bersih']",netral
belum pernah nongkrong cabang sini kurang tau segi pelayanan kondisi kyk gimana cuman beberapa kali order makanan via online food cuma bisa kasih pendapat soal makanannya,belum pernah nongkrong cabang sini kurang tau segi pelayanan kondisi seperti gimana cuman beberapa kali order makanan via online food cuma bisa kasih pendapat soal makanannya,"['belum', 'pernah', 'nongkrong', 'cabang', 'sini', 'kurang', 'tau', 'segi', 'pelayanan', 'kondisi', 'seperti', 'gimana', 'cuman', 'beberapa', 'kali', 'order', 'makanan', 'via', 'online', 'food', 'cuma', 'bisa', 'kasih', 'pendapat', 'soal', 'makanannya']","['belum', 'pernah', 'nongkrong', 'cabang', 'sini', 'kurang', 'tau', 'segi', 'layan', 'kondisi', 'seperti', 'gimana', 'cuman', 'beberapa', 'kali', 'order', 'makan', 'via', 'online', 'food', 'cuma', 'bisa', 'kasih', 'dapat', 'soal', 'makan']",negatif
kapan hari order dessertnya kfc paling the best cream puffnya donatnya teksturnya agak keras pukisnya lembut tapi adonannya mnurut lebih kearah kue cubit,kapan hari order dessertnya kfc paling the best cream puffnya donatnya teksturnya agak keras pukisnya lembut tapi adonannya mnurut lebih kearah kue cubit,"['kapan', 'hari', 'order', 'dessertnya', 'kfc', 'paling', 'the', 'best', 'cream', 'puffnya', 'donatnya', 'teksturnya', 'agak', 'keras', 'pukisnya', 'lembut', 'tapi', 'adonannya', 'mnurut', 'lebih', 'kearah', 'kue', 'cubit']","['kapan', 'hari', 'order', 'dessertnya', 'kfc', 'paling', 'the', 'best', 'cream', 'puffnya', 'donat', 'tekstur', 'agak', 'keras', 'pukisnya', 'lembut', 'tapi', 'adon', 'mnurut', 'lebih', 'arah', 'kue', 'cubit']",negatif
customer servicekasirnya kurang ramah ya apa faktor umur sudah berusia separuh baya,pelanggan servicekasirnya kurang ramah ya apa faktor umur sudah berusia separuh baya,"['pelanggan', 'servicekasirnya', 'kurang', 'ramah', 'ya', 'apa', 'faktor', 'umur', 'sudah', 'berusia', 'separuh', 'baya']","['langgan', 'servicekasirnya', 'kurang', 'ramah', 'ya', 'apa', 'faktor', 'umur', 'sudah', 'usia', 'paruh', 'baya']",netral
tempatnya okelah playground utk balitatoiletnya bersih,tempatnya okelah playground untuk balitatoiletnya bersih,"['tempatnya', 'okelah', 'playground', 'untuk', 'balitatoiletnya', 'bersih']","['tempat', 'oke', 'playground', 'untuk', 'balitatoiletnya', 'bersih']",positif
emang kfc it jagonya ayam ayamnya juicy banget suka banget apalagi baru digoreng hemph mantaaapppp,emang kfc it jagonya ayam ayamnya juicy sekali suka sekali apalagi baru digoreng hemph mantaaapppp,"['emang', 'kfc', 'it', 'jagonya', 'ayam', 'ayamnya', 'juicy', 'sekali', 'suka', 'sekali', 'apalagi', 'baru', 'digoreng', 'hemph', 'mantaaapppp']","['emang', 'kfc', 'it', 'jago', 'ayam', 'ayam', 'juicy', 'sekali', 'suka', 'sekali', 'apalagi', 'baru', 'goreng', 'hemph', 'mantaaapppp']",positif
indornya tempatnya sedikit kalau acara dbl mesti penuh akhirnya luar panas didalam pake ac krasa panas atau mungkin cuaca panas palingan,indornya tempatnya sedikit kalau acara dbl mesti penuh akhirnya luar panas didalam pake ac terasa panas atau mungkin cuaca panas palingan,"['indornya', 'tempatnya', 'sedikit', 'kalau', 'acara', 'dbl', 'mesti', 'penuh', 'akhirnya', 'luar', 'panas', 'didalam', 'pake', 'ac', 'terasa', 'panas', 'atau', 'mungkin', 'cuaca', 'panas', 'palingan']","['indornya', 'tempat', 'sedikit', 'kalau', 'acara', 'dbl', 'mesti', 'penuh', 'akhir', 'luar', 'panas', 'dalam', 'pake', 'ac', 'asa', 'panas', 'atau', 'mungkin', 'cuaca', 'panas', 'paling']",negatif
menu kasir belom tentu self service pembayaran hanya cc debit qris hanya dikasirdan kasirnya antrii lmyan lama perorgnya,menu kasir belom tentu self service pembayaran hanya cc debit qris hanya dikasirdan kasirnya antrii lmyan lama perorgnya,"['menu', 'kasir', 'belom', 'tentu', 'self', 'service', 'pembayaran', 'hanya', 'cc', 'debit', 'qris', 'hanya', 'dikasirdan', 'kasirnya', 'antrii', 'lmyan', 'lama', 'perorgnya']","['menu', 'kasir', 'bom', 'tentu', 'self', 'service', 'bayar', 'hanya', 'cc', 'debit', 'qris', 'hanya', 'dikasirdan', 'kasir', 'antri', 'lmyan', 'lama', 'perorgnya']",negatif
ya kagok nyari2 ternyata pas pegawainya baru kasih tau menu2 self servicenya,ya kagok nyari2 ternyata pas pegawainya baru kasih tau menu2 self servicenya,"['ya', 'kagok', 'nyari2', 'ternyata', 'pas', 'pegawainya', 'baru', 'kasih', 'tau', 'menu2', 'self', 'servicenya']","['ya', 'kagok', 'nyari2', 'nyata', 'pas', 'pegawai', 'baru', 'kasih', 'tau', 'menu2', 'self', 'servicenya']",positif
luas nyaman pilihan menu makanan minuman pas nongkrong bersama keluarga,luas nyaman pilihan menu makanan minuman pas nongkrong bersama keluarga,"['luas', 'nyaman', 'pilihan', 'menu', 'makanan', 'minuman', 'pas', 'nongkrong', 'bersama', 'keluarga']","['luas', 'nyaman', 'pilih', 'menu', 'makan', 'minum', 'pas', 'nongkrong', 'sama', 'keluarga']",positif
perubahan kfc ahmad yani surabaya cukup signifikan mulai konsep parkir sama dengan etoll baik motor maupun mobil kemudian layanan self service terus disosialisasikan oleh pihak restoran mengenai rasa kualitas rasa makanan kurang sehingga bisa membuat para customer setia berpaling overall kfc saat adalah nongkrong lumayanlah daripada lu manyun,perubahan kfc ahmad yani surabaya cukup signifikan mulai konsep parkir sama dengan etoll baik motor maupun mobil kemudian layanan self service terus disosialisasikan oleh pihak restoran mengenai rasa kualitas rasa makanan kurang sehingga bisa membuat para pelanggan setia berpaling overall kfc saat adalah nongkrong lumayanlah daripada lu manyun,"['perubahan', 'kfc', 'ahmad', 'yani', 'surabaya', 'cukup', 'signifikan', 'mulai', 'konsep', 'parkir', 'sama', 'dengan', 'etoll', 'baik', 'motor', 'maupun', 'mobil', 'kemudian', 'layanan', 'self', 'service', 'terus', 'disosialisasikan', 'oleh', 'pihak', 'restoran', 'mengenai', 'rasa', 'kualitas', 'rasa', 'makanan', 'kurang', 'sehingga', 'bisa', 'membuat', 'para', 'pelanggan', 'setia', 'berpaling', 'overall', 'kfc', 'saat', 'adalah', 'nongkrong', 'lumayanlah', 'daripada', 'lu', 'manyun']","['ubah', 'kfc', 'ahmad', 'yani', 'surabaya', 'cukup', 'signifikan', 'mulai', 'konsep', 'parkir', 'sama', 'dengan', 'etoll', 'baik', 'motor', 'maupun', 'mobil', 'kemudian', 'layan', 'self', 'service', 'terus', 'sosialisasi', 'oleh', 'pihak', 'restoran', 'kena', 'rasa', 'kualitas', 'rasa', 'makan', 'kurang', 'sehingga', 'bisa', 'buat', 'para', 'langgan', 'setia', 'paling', 'overall', 'kfc', 'saat', 'adalah', 'nongkrong', 'lumayan', 'daripada', 'lu', 'manyun']",positif
